"","AREA","orientation","n"
"1",1.888,"k",16
"2",1.888,"l",16
"3",1984170,"k",0
"4",1984170,"l",0
"5",3184250,"k",0
"6",3184250,"l",0
"7",3655840,"k",0
"8",3655840,"l",0
"9",23023800,"k",0
"10",23023800,"l",0
"11",29809500,"k",0
"12",29809500,"l",0
"13",37361100,"k",5
"14",37361100,"l",4
"15",277949000,"k",0
"16",277949000,"l",0
"17",396293000,"k",0
"18",396293000,"l",0
"19",1072420000,"k",0
"20",1072420000,"l",0
"21",1404590000,"k",173
"22",1404590000,"l",67
"23",2001880000,"k",0
"24",2001880000,"l",0
"25",7784290000,"k",7
"26",7784290000,"l",5
"27",7998460000,"k",45
"28",7998460000,"l",17
"29",12455100000,"k",28
"30",12455100000,"l",23
"31",14278500000,"k",22
"32",14278500000,"l",18
"33",18379500000,"k",17
"34",18379500000,"l",9
"35",19253200000,"k",75
"36",19253200000,"l",75
"37",21633900000,"k",11
"38",21633900000,"l",9
"39",23393200000,"k",1
"40",23393200000,"l",3
"41",24070400000,"k",8
"42",24070400000,"l",1
"43",24667200000,"k",5
"44",24667200000,"l",3
"45",25714300000,"k",14
"46",25714300000,"l",11
"47",27156700000,"k",13
"48",27156700000,"l",6
"49",29138200000,"k",21
"50",29138200000,"l",8
"51",29801200000,"k",21
"52",29801200000,"l",12
"53",30003900000,"k",16
"54",30003900000,"l",10
"55",34463000000,"k",8
"56",34463000000,"l",4
"57",34920400000,"k",15
"58",34920400000,"l",4
"59",35776700000,"k",6
"60",35776700000,"l",1
"61",36156700000,"k",33
"62",36156700000,"l",16
"63",37242500000,"k",11
"64",37242500000,"l",9
"65",39695000000,"k",9
"66",39695000000,"l",8
"67",42104800000,"k",16
"68",42104800000,"l",17
"69",43351300000,"k",6
"70",43351300000,"l",4
"71",45938100000,"k",201
"72",45938100000,"l",145
"73",49871500000,"k",12
"74",49871500000,"l",7
"75",49932100000,"k",29
"76",49932100000,"l",32
"77",50589800000,"k",13
"78",50589800000,"l",8
"79",52206800000,"k",28
"80",52206800000,"l",15
"81",53541500000,"k",68
"82",53541500000,"l",35
"83",55092400000,"k",18
"84",55092400000,"l",14
"85",55256800000,"k",14
"86",55256800000,"l",3
"87",60248100000,"k",11
"88",60248100000,"l",6
"89",61652100000,"k",25
"90",61652100000,"l",16
"91",66180200000,"k",36
"92",66180200000,"l",18
"93",68035300000,"k",50
"94",68035300000,"l",28
"95",70525800000,"k",8
"96",70525800000,"l",7
"97",71695700000,"k",0
"98",71695700000,"l",0
"99",75617300000,"k",146
"100",75617300000,"l",74
"101",76790200000,"k",36
"102",76790200000,"l",11
"103",84480900000,"k",39
"104",84480900000,"l",27
"105",88634600000,"k",46
"106",88634600000,"l",30
"107",92969500000,"k",24
"108",92969500000,"l",9
"109",95796800000,"k",12
"110",95796800000,"l",18
"111",101055000000,"k",42
"112",101055000000,"l",16
"113",101141000000,"k",30
"114",101141000000,"l",16
"115",112861000000,"k",28
"116",112861000000,"l",17
"117",120598000000,"k",8
"118",120598000000,"l",5
"119",124242000000,"k",7
"120",124242000000,"l",5
"121",128003000000,"k",38
"122",128003000000,"l",16
"123",141206000000,"k",6
"124",141206000000,"l",6
"125",142986000000,"k",30
"126",142986000000,"l",32
"127",143071000000,"k",26
"128",143071000000,"l",15
"129",145444000000,"k",22
"130",145444000000,"l",16
"131",159839000000,"k",35
"132",159839000000,"l",13
"133",165229000000,"k",34
"134",165229000000,"l",14
"135",167141000000,"k",2
"136",167141000000,"l",1
"137",168126000000,"k",33
"138",168126000000,"l",13
"139",168539000000,"k",15
"140",168539000000,"l",9
"141",172464000000,"k",25
"142",172464000000,"l",39
"143",177881000000,"k",43
"144",177881000000,"l",16
"145",194272000000,"k",60
"146",194272000000,"l",42
"147",314507000000,"k",8
"148",314507000000,"l",5
"149",351792000000,"k",15
"150",351792000000,"l",9
"151",362638000000,"k",18
"152",362638000000,"l",12
"153",413018000000,"k",13
"154",413018000000,"l",28
"155",417593000000,"k",18
"156",417593000000,"l",9
"157",462572000000,"k",3
"158",462572000000,"l",2
"159",534822000000,"k",20
"160",534822000000,"l",16
"161",752945000000,"k",38
"162",752945000000,"l",19
"163",782666000000,"k",16
"164",782666000000,"l",9
